retained,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,first_last_days_diff,created_first_days_diff,favday_Friday,favday_Monday,favday_Saturday,favday_Sunday,favday_Thursday,favday_Tuesday,favday_Wednesday,city_BLR,city_BOM,city_DEL,city_MAA,FS_ID,FS_time
1,48,8.333333333,2.083333333,101.06,0.037800687,0,0,0,582,-560,0,1,0,0,0,0,0,0,0,1,0,1017,1.662656837E9
1,57,17.54385965,0.0,14.02,0.066009852,0,0,0,1015,-67,0,1,0,0,0,0,0,0,1,0,0,1018,1.662656837E9
1,46,65.2173913,8.695652174,79.39,0.069838057,1,0,0,988,-231,0,0,0,0,1,0,0,0,0,1,0,1019,1.662656837E9
0,0,0.0,0.0,29.17,0.0,0,0,0,0,-69,0,1,0,0,0,0,0,0,1,0,0,1020,1.662656837E9
1,47,2.127659574,0.0,79.88,0.006932409,0,0,0,577,-1,0,0,0,0,0,0,1,0,0,1,0,1021,1.662656837E9
1,47,19.14893617,10.63829787,115.25,0.138888889,1,0,0,252,-741,0,0,0,0,0,0,1,0,0,1,0,1022,1.662656837E9
0,0,0.0,0.0,76.67,0.007017544,0,0,0,570,-45,0,0,0,0,0,1,0,0,0,1,0,1023,1.662656837E9
0,0,0.0,0.0,35.86,0.006024096,0,0,0,332,-240,0,0,0,0,0,1,0,0,0,1,0,1024,1.662656837E9
1,18,0.0,0.0,85.61,0.08,0,0,0,50,-138,0,0,0,0,0,1,0,0,0,1,0,1025,1.662656837E9
0,0,0.0,0.0,75.54,0.007072136,0,0,0,1414,-7,0,1,0,0,0,0,0,0,0,1,0,1026,1.662656837E9
1,31,100.0,9.677419355,59.67,0.016427105,0,0,0,487,-5,0,0,0,0,1,0,0,0,0,1,0,1027,1.662656837E9
1,46,6.52173913,4.347826087,59.11,0.015701668,1,0,0,1019,-303,1,0,0,0,0,0,0,0,1,0,0,1028,1.662656837E9
1,49,36.73469388,20.40816327,33.87,0.026392962,0,0,0,1023,-33,0,1,0,0,0,0,0,0,1,0,0,1029,1.662656837E9
1,16,0.0,0.0,64.82,0.071428571,0,0,0,28,-262,0,0,0,0,0,1,0,0,0,1,0,1030,1.662656837E9
1,45,11.11111111,0.0,60.94,0.0,0,0,0,0,-568,0,0,0,0,0,1,0,0,1,0,0,1031,1.662656837E9
1,40,2.5,2.5,94.28,0.021929825,0,0,0,228,-39,0,0,0,0,1,0,0,0,1,0,0,1032,1.662656837E9
1,48,12.5,2.083333333,103.39,0.013157895,0,0,0,912,-7,0,1,0,0,0,0,0,0,1,0,0,1033,1.662656837E9
0,0,0.0,0.0,15.64,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1034,1.662656837E9
1,45,17.77777778,2.222222222,117.97,0.03255814,0,0,0,645,-15,0,0,0,0,1,0,0,0,0,1,0,1035,1.662656837E9
1,47,2.127659574,0.0,37.24,0.036809816,0,0,0,326,-420,0,0,0,0,0,0,1,0,0,1,0,1036,1.662656837E9
1,16,0.0,0.0,165.95,0.007434944,0,0,0,269,-6,1,0,0,0,0,0,0,0,1,0,0,1037,1.662656837E9
1,45,0.0,0.0,74.74,0.0,0,0,0,0,-10,1,0,0,0,0,0,0,0,1,0,0,1038,1.662656837E9
0,0,0.0,0.0,178.44,0.045203969,0,0,0,907,-99,0,0,0,0,0,0,1,0,0,1,0,1039,1.662656837E9
0,0,0.0,0.0,43.54,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1040,1.662656837E9
0,0,0.0,0.0,103.64,0.016172507,0,0,0,371,-77,0,0,0,0,1,0,0,0,1,0,0,1041,1.662656837E9
0,0,0.0,0.0,28.63,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1042,1.662656837E9
0,0,0.0,0.0,21.97,0.0,0,0,0,0,-23,0,0,0,0,1,0,0,0,0,1,0,1043,1.662656837E9
0,0,0.0,0.0,87.05,0.021276596,0,0,0,141,-6,0,0,0,0,0,1,0,0,0,1,0,1044,1.662656837E9
1,48,2.083333333,2.083333333,35.73,0.026008969,0,0,0,1115,-43,0,0,0,0,0,1,0,0,0,1,0,1045,1.662656837E9
1,50,10.0,4.0,33.38,0.005380477,0,0,0,1301,-152,0,1,0,0,0,0,0,0,0,1,0,1046,1.662656837E9
1,45,0.0,0.0,22.92,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1047,1.662656837E9
0,0,0.0,0.0,125.97,0.035911602,0,0,0,362,-363,0,1,0,0,0,0,0,0,0,1,0,1048,1.662656837E9
0,0,0.0,0.0,37.01,0.047619048,0,0,0,42,0,1,0,0,0,0,0,0,0,0,1,0,1049,1.662656837E9
0,0,0.0,0.0,61.85,0.269230769,0,0,0,26,-95,1,0,0,0,0,0,0,0,0,1,0,1050,1.662656837E9
0,0,0.0,0.0,101.3,0.0,0,0,0,0,-6,0,0,0,0,0,0,1,0,0,1,0,1051,1.662656837E9
1,53,3.773584906,3.773584906,151.27,0.094653812,0,0,0,1141,-172,0,0,0,0,0,1,0,0,0,1,0,1052,1.662656837E9
1,18,0.0,0.0,58.57,0.166666667,0,0,0,42,-15,0,1,0,0,0,0,0,0,0,1,0,1053,1.662656837E9
0,0,0.0,0.0,55.9,0.0,0,0,0,0,-414,0,0,0,0,1,0,0,0,1,0,0,1054,1.662656837E9
1,18,0.0,0.0,132.31,0.027472527,0,0,0,364,-7,0,1,0,0,0,0,0,0,0,1,0,1055,1.662656837E9
1,16,0.0,0.0,91.9,0.0,0,0,0,0,-5,0,1,0,0,0,0,0,0,0,1,0,1056,1.662656837E9
1,16,0.0,0.0,39.16,0.0,0,0,0,0,-302,1,0,0,0,0,0,0,0,0,1,0,1057,1.662656837E9
1,23,95.65217391,0.0,68.82,0.032644178,0,0,0,919,-258,0,1,0,0,0,0,0,0,1,0,0,1058,1.662656837E9
1,34,14.70588235,0.0,44.05,0.0,0,1,0,0,-1117,0,0,0,0,0,1,0,0,1,0,0,1059,1.662656837E9
0,0,0.0,0.0,184.37,0.0,0,0,0,0,-11,0,0,0,0,0,0,1,0,0,1,0,1060,1.662656837E9
1,41,43.90243902,0.0,27.11,0.065408805,1,0,0,795,-318,0,0,0,0,1,0,0,0,0,1,0,1061,1.662656837E9
0,0,0.0,0.0,65.77,0.018891688,1,0,0,794,-28,0,0,0,0,0,0,1,0,0,0,1,1062,1.662656837E9
1,42,26.19047619,2.380952381,44.97,0.006144393,0,0,0,651,-1,0,0,0,0,0,1,0,0,1,0,0,1063,1.662656837E9
0,0,0.0,0.0,69.69,0.0,0,0,0,0,-24,0,0,0,0,1,0,0,0,0,1,0,1064,1.662656837E9
0,33,75.75757576,0.0,49.76,0.214285714,0,0,0,14,-13,0,0,0,0,0,1,0,0,0,1,0,1065,1.662656837E9
1,16,0.0,0.0,81.95,0.0,0,0,0,0,-5,0,0,0,0,0,0,1,0,0,1,0,1066,1.662656837E9
0,0,0.0,0.0,134.18,0.015217391,1,0,0,460,0,0,0,0,0,0,1,0,0,1,0,0,1067,1.662656837E9
1,14,0.0,0.0,63.18,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1068,1.662656837E9
1,45,77.77777778,20.0,42.62,0.064372919,1,0,0,901,-600,0,1,0,0,0,0,0,0,0,1,0,1069,1.662656837E9
1,16,0.0,0.0,23.79,0.0,0,0,0,0,-49,0,0,0,0,0,0,1,0,0,1,0,1070,1.662656837E9
1,46,93.47826087,15.2173913,165.07,0.0,0,0,0,0,-862,0,0,0,0,0,1,0,0,0,1,0,1071,1.662656837E9
0,0,0.0,0.0,29.68,0.0,0,0,0,0,-5,0,0,0,0,0,1,0,0,0,1,0,1072,1.662656837E9
1,45,4.444444444,2.222222222,39.41,0.006711409,0,0,0,1490,-35,1,0,0,0,0,0,0,0,0,1,0,1073,1.662656837E9
1,47,2.127659574,0.0,73.07,0.0,0,0,0,0,-527,1,0,0,0,0,0,0,0,0,1,0,1074,1.662656837E9
1,18,0.0,0.0,50.87,0.072222222,0,0,0,180,-252,0,0,0,0,0,0,1,0,0,1,0,1075,1.662656837E9
0,0,0.0,0.0,35.09,0.09375,0,0,0,224,-37,0,1,0,0,0,0,0,0,0,1,0,1076,1.662656837E9
1,42,38.0952381,0.0,85.37,0.076923077,0,0,0,52,0,0,1,0,0,0,0,0,0,0,1,0,1077,1.662656837E9
0,0,0.0,0.0,60.3,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1078,1.662656837E9
1,44,25.0,11.36363636,117.32,0.032786885,1,0,0,732,-11,1,0,0,0,0,0,0,0,0,1,0,1079,1.662656837E9
1,47,0.0,0.0,105.45,0.003707136,0,0,0,1079,0,0,0,0,0,0,1,0,0,0,1,0,1080,1.662656837E9
1,45,6.666666667,2.222222222,165.23,0.010526316,1,0,0,475,0,0,1,0,0,0,0,0,0,1,0,0,1081,1.662656837E9
1,45,6.666666667,0.0,52.4,0.0,0,0,0,0,-440,0,0,0,0,0,1,0,0,0,1,0,1082,1.662656837E9
1,39,87.17948718,12.82051282,30.48,0.015732547,0,0,0,1017,0,0,0,0,0,0,1,0,0,1,0,0,1083,1.662656837E9
1,16,0.0,0.0,33.57,0.0,0,0,0,0,-735,0,0,0,0,1,0,0,0,0,1,0,1084,1.662656837E9
0,0,0.0,0.0,83.04,0.0,0,0,0,0,-373,0,1,0,0,0,0,0,0,0,1,0,1085,1.662656837E9
0,0,0.0,0.0,54.82,0.076190476,0,0,0,105,-364,0,0,0,0,1,0,0,0,0,1,0,1086,1.662656837E9
1,47,2.127659574,0.0,20.54,0.008403361,0,0,0,476,-14,0,1,0,0,0,0,0,0,0,1,0,1087,1.662656837E9
1,16,0.0,0.0,53.36,0.0,0,0,0,0,-7,1,0,0,0,0,0,0,0,0,1,0,1088,1.662656837E9
1,42,16.66666667,2.380952381,27.74,0.005617978,0,0,0,534,-23,1,0,0,0,0,0,0,0,1,0,0,1089,1.662656837E9
0,0,0.0,0.0,25.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1090,1.662656837E9
1,39,35.8974359,0.0,130.51,0.021505376,0,0,0,93,0,0,0,0,0,0,1,0,0,0,1,0,1091,1.662656837E9
0,0,0.0,0.0,141.97,0.015873016,0,0,0,378,-21,0,1,0,0,0,0,0,0,0,1,0,1092,1.662656837E9
0,0,0.0,0.0,47.5,0.010126582,1,0,0,395,-165,0,0,0,0,1,0,0,0,0,1,0,1093,1.662656837E9
0,0,0.0,0.0,111.86,0.054263566,0,0,0,129,-63,0,0,0,0,0,1,0,0,0,1,0,1094,1.662656837E9
1,46,19.56521739,10.86956522,29.73,0.006485084,1,0,0,771,-193,0,0,0,0,0,1,0,0,0,0,1,1095,1.662656837E9
0,0,0.0,0.0,109.16,0.022988506,0,0,0,174,-21,0,1,0,0,0,0,0,0,0,1,0,1096,1.662656837E9
0,0,0.0,0.0,27.6,0.0,0,0,0,0,-11,0,0,0,0,1,0,0,0,0,1,0,1097,1.662656837E9
1,38,28.94736842,18.42105263,54.62,0.0,0,0,0,0,-349,1,0,0,0,0,0,0,0,1,0,0,1098,1.662656837E9
0,0,0.0,0.0,37.2,0.0,0,0,0,0,-170,0,0,0,0,1,0,0,0,1,0,0,1099,1.662656837E9
1,40,22.5,0.0,139.88,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1100,1.662656837E9
0,0,0.0,0.0,57.3,0.0,0,0,0,0,-7,0,1,0,0,0,0,0,0,0,1,0,1101,1.662656837E9
1,52,3.846153846,1.923076923,59.35,0.020530368,1,0,0,1169,-581,0,1,0,0,0,0,0,0,0,1,0,1102,1.662656837E9
1,34,79.41176471,17.64705882,44.25,0.014005602,0,0,0,357,-7,0,1,0,0,0,0,0,0,0,1,0,1103,1.662656837E9
1,18,0.0,0.0,18.42,0.203125,0,0,0,64,-156,0,0,0,0,1,0,0,0,0,1,0,1104,1.662656837E9
1,40,25.0,0.0,302.43,0.0,0,0,0,0,-7,0,0,0,0,1,0,0,0,1,0,0,1105,1.662656837E9
1,47,2.127659574,0.0,50.79,0.272727273,0,0,0,22,-49,1,0,0,0,0,0,0,0,1,0,0,1106,1.662656837E9
1,37,5.405405405,5.405405405,57.22,0.00655308,1,0,0,763,-599,0,0,0,0,0,0,1,0,0,1,0,1107,1.662656837E9
1,41,21.95121951,14.63414634,72.66,0.01863354,0,0,0,161,0,0,0,0,0,0,0,1,0,0,1,0,1108,1.662656837E9
1,16,0.0,0.0,71.96,0.285714286,0,0,0,7,-64,1,0,0,0,0,0,0,0,1,0,0,1109,1.662656837E9
1,16,0.0,0.0,37.81,0.083333333,0,0,0,24,0,1,0,0,0,0,0,0,0,0,1,0,1110,1.662656837E9
1,42,23.80952381,0.0,16.14,0.0,0,0,0,0,-512,0,1,0,0,0,0,0,0,1,0,0,1111,1.662656837E9
1,45,22.22222222,8.888888889,104.22,0.012897678,0,0,0,1163,-65,0,0,0,0,0,0,1,0,0,0,1,1112,1.662656837E9
1,42,23.80952381,0.0,86.73,0.103448276,0,0,0,29,-12,0,1,0,0,0,0,0,0,0,1,0,1113,1.662656837E9
1,44,29.54545455,0.0,30.57,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1114,1.662656837E9
0,0,0.0,0.0,23.65,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1115,1.662656837E9
0,0,0.0,0.0,120.14,0.714285714,0,0,0,7,-151,0,0,0,0,1,0,0,0,0,1,0,1116,1.662656837E9
1,46,6.52173913,0.0,70.32,0.019283747,0,0,0,1089,-13,0,1,0,0,0,0,0,0,0,1,0,1117,1.662656837E9
0,0,0.0,0.0,57.76,0.0,0,0,0,0,-21,0,0,0,0,0,0,1,0,0,1,0,1118,1.662656837E9
1,47,17.0212766,6.382978723,55.18,0.020484171,0,0,0,537,-167,0,0,0,0,0,0,1,0,1,0,0,1119,1.662656837E9
1,48,4.166666667,0.0,96.37,0.007792208,1,0,0,1155,-7,0,1,0,0,0,0,0,0,0,1,0,1120,1.662656837E9
0,0,0.0,0.0,55.68,0.0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,1121,1.662656837E9
1,16,0.0,0.0,20.2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1122,1.662656837E9
0,0,0.0,0.0,29.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1123,1.662656837E9
1,11,27.27272727,18.18181818,38.46,0.222222222,1,1,1,9,-1045,0,1,0,0,0,0,0,0,1,0,0,1124,1.662656837E9
1,22,4.545454545,4.545454545,36.48,0.009608785,0,0,0,1457,-411,0,1,0,0,0,0,0,0,0,1,0,1125,1.662656837E9
1,18,0.0,0.0,51.3,0.045112782,0,0,0,266,-31,1,0,0,0,0,0,0,0,0,1,0,1126,1.662656837E9
0,0,0.0,0.0,171.7,0.060606061,0,0,0,33,-1,0,0,0,0,0,1,0,0,1,0,0,1127,1.662656837E9
1,34,64.70588235,2.941176471,93.96,0.019607843,0,0,0,102,-172,1,0,0,0,0,0,0,0,1,0,0,1128,1.662656837E9
0,0,0.0,0.0,67.95,0.018735363,0,0,0,854,-140,0,0,0,0,0,0,1,0,0,1,0,1129,1.662656837E9
1,47,2.127659574,0.0,110.02,0.04704797,0,0,0,1084,-266,0,0,0,0,0,1,0,0,0,1,0,1130,1.662656837E9
1,47,0.0,0.0,37.35,0.016260163,0,0,0,246,-83,0,0,0,0,1,0,0,0,1,0,0,1131,1.662656837E9
0,0,0.0,0.0,21.98,0.052631579,0,0,0,57,0,1,0,0,0,0,0,0,0,0,1,0,1132,1.662656837E9
0,0,0.0,0.0,147.35,0.45,0,0,0,20,-431,1,0,0,0,0,0,0,0,0,1,0,1133,1.662656837E9
0,0,0.0,0.0,99.47,0.022900763,0,0,0,131,-258,0,0,0,0,0,0,1,0,0,1,0,1134,1.662656837E9
0,0,0.0,0.0,75.83,0.041758242,0,0,0,455,-283,1,0,0,0,0,0,0,0,0,1,0,1135,1.662656837E9
1,32,87.5,6.25,27.77,0.025396825,0,0,0,315,-119,0,1,0,0,0,0,0,0,1,0,0,1136,1.662656837E9
0,0,0.0,0.0,83.85,0.0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,1137,1.662656837E9
1,41,56.09756098,0.0,13.73,0.111111111,0,0,0,63,-39,0,1,0,0,0,0,0,0,0,1,0,1138,1.662656837E9
0,2,50.0,0.0,31.04,0.0,0,0,0,0,-134,0,1,0,0,0,0,0,0,0,1,0,1139,1.662656837E9
1,67,25.37313433,8.955223881,85.66,0.11665005,1,1,0,1003,0,0,1,0,0,0,0,0,0,1,0,0,1140,1.662656837E9
1,39,87.17948718,12.82051282,101.64,0.005617978,0,0,0,1068,-15,0,1,0,0,0,0,0,0,1,0,0,1141,1.662656837E9
1,47,0.0,0.0,44.94,0.2,0,0,0,20,-1022,0,0,0,0,0,0,1,0,0,1,0,1142,1.662656837E9
1,44,4.545454545,0.0,50.94,0.0,0,0,0,0,-894,0,1,0,0,0,0,0,0,0,1,0,1143,1.662656837E9
1,46,4.347826087,4.347826087,56.53,0.142857143,1,0,0,28,-14,0,0,0,0,0,0,1,0,0,0,1,1144,1.662656837E9
1,34,23.52941176,8.823529412,41.0,0.0,0,0,0,0,-924,0,0,0,0,1,0,0,0,1,0,0,1145,1.662656837E9
0,0,0.0,0.0,129.76,0.0,0,0,0,0,-212,1,0,0,0,0,0,0,0,0,1,0,1146,1.662656837E9
1,45,4.444444444,0.0,46.46,0.039591315,0,0,0,783,-63,0,0,0,0,0,1,0,0,1,0,0,1147,1.662656837E9
1,16,0.0,0.0,49.8,0.111111111,0,0,0,27,-7,1,0,0,0,0,0,0,0,0,1,0,1148,1.662656837E9
0,0,0.0,0.0,28.37,0.0,0,0,0,0,-211,0,0,0,0,0,0,1,0,0,1,0,1149,1.662656837E9
0,0,0.0,0.0,27.57,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1150,1.662656837E9
1,45,2.222222222,0.0,63.28,0.00877193,0,0,0,342,-52,0,1,0,0,0,0,0,0,0,1,0,1151,1.662656837E9
0,1,0.0,0.0,87.01,0.083888149,0,0,0,751,-5,0,1,0,0,0,0,0,0,0,1,0,1152,1.662656837E9
1,45,11.11111111,0.0,55.71,0.007594937,0,0,0,790,-367,0,0,0,0,1,0,0,0,0,1,0,1153,1.662656837E9
0,0,0.0,0.0,30.63,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1154,1.662656837E9
1,38,28.94736842,0.0,28.7,0.089977221,1,0,0,878,-277,0,0,0,0,0,0,1,0,0,0,1,1155,1.662656837E9
0,0,0.0,0.0,26.25,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1156,1.662656837E9
1,72,30.55555556,0.0,80.06,0.175473579,0,1,0,1003,-157,0,1,0,0,0,0,0,0,1,0,0,1157,1.662656837E9
1,51,19.60784314,13.7254902,53.37,0.122126437,0,1,0,1392,-594,0,0,0,0,0,0,1,0,0,1,0,1158,1.662656837E9
1,43,6.976744186,6.976744186,52.63,0.078947368,1,0,0,38,-495,0,0,0,0,0,1,0,0,0,1,0,1159,1.662656837E9
0,0,0.0,0.0,142.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1160,1.662656837E9
0,0,0.0,0.0,64.77,0.028169014,0,0,0,71,0,0,0,0,0,1,0,0,0,1,0,0,1161,1.662656837E9
0,0,0.0,0.0,53.95,0.0,0,0,0,0,-31,0,0,0,0,0,1,0,0,0,1,0,1162,1.662656837E9
0,0,0.0,0.0,70.83,0.018838305,0,0,0,637,-333,0,1,0,0,0,0,0,0,0,1,0,1163,1.662656837E9
0,0,0.0,0.0,49.76,0.0,0,0,0,0,-18,1,0,0,0,0,0,0,0,0,1,0,1164,1.662656837E9
0,41,21.95121951,0.0,71.57,0.119047619,0,0,0,42,-41,0,1,0,0,0,0,0,0,1,0,0,1165,1.662656837E9
1,40,5.0,0.0,48.29,0.0,0,0,0,0,-149,0,0,0,0,1,0,0,0,0,1,0,1166,1.662656837E9
1,39,7.692307692,2.564102564,105.92,0.033333333,0,0,0,120,-29,1,0,0,0,0,0,0,0,0,1,0,1167,1.662656837E9
0,0,0.0,0.0,180.43,0.043859649,1,0,0,684,-73,1,0,0,0,0,0,0,0,0,1,0,1168,1.662656837E9
0,0,0.0,0.0,151.63,0.057077626,1,0,0,876,-37,1,0,0,0,0,0,0,0,0,1,0,1169,1.662656837E9
0,0,0.0,0.0,47.16,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1170,1.662656837E9
0,0,0.0,0.0,52.62,0.0,0,0,0,0,-477,0,0,0,0,0,0,1,0,1,0,0,1171,1.662656837E9
1,41,14.63414634,2.43902439,41.29,0.0,0,0,0,0,-14,0,0,0,0,0,0,1,0,0,1,0,1172,1.662656837E9
0,28,21.42857143,0.0,30.09,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1173,1.662656837E9
0,27,62.96296296,0.0,72.78,0.19047619,0,0,0,21,-426,0,0,0,0,0,0,1,0,0,1,0,1174,1.662656837E9
1,46,4.347826087,2.173913043,103.83,0.0,1,0,0,0,-209,0,0,0,0,0,1,0,0,0,1,0,1175,1.662656837E9
1,48,10.41666667,8.333333333,132.43,0.052274927,1,0,0,1033,-148,0,0,0,0,0,1,0,0,0,1,0,1176,1.662656837E9
0,0,0.0,0.0,63.9,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1177,1.662656837E9
0,0,0.0,0.0,53.85,0.060803474,1,0,0,921,-55,1,0,0,0,0,0,0,0,0,1,0,1178,1.662656837E9
0,0,0.0,0.0,48.81,0.244444444,0,0,0,180,-209,0,0,0,0,1,0,0,0,0,1,0,1179,1.662656837E9
0,0,0.0,0.0,67.94,0.0,0,0,0,0,-4,0,0,0,0,1,0,0,0,1,0,0,1180,1.662656837E9
1,45,0.0,0.0,71.56,0.004201681,0,0,0,476,-515,0,0,0,0,0,1,0,0,0,1,0,1181,1.662656837E9
0,0,0.0,0.0,49.83,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1182,1.662656837E9
1,18,0.0,0.0,40.97,0.016172507,0,0,0,371,-155,1,0,0,0,0,0,0,0,1,0,0,1183,1.662656837E9
1,53,3.773584906,1.886792453,85.39,0.014828545,0,0,0,1079,-66,0,1,0,0,0,0,0,0,0,1,0,1184,1.662656837E9
1,38,39.47368421,15.78947368,52.15,0.0,0,0,0,0,-445,0,0,0,0,1,0,0,0,1,0,0,1185,1.662656837E9
1,31,100.0,19.35483871,103.97,0.047193878,1,0,0,784,-10,0,0,0,0,1,0,0,0,0,1,0,1186,1.662656837E9
0,0,0.0,0.0,35.82,0.333333333,0,0,0,48,-65,0,0,0,0,0,1,0,0,1,0,0,1187,1.662656837E9
0,0,0.0,0.0,33.81,0.178571429,0,0,0,28,-13,0,0,0,0,1,0,0,0,1,0,0,1188,1.662656837E9
1,36,58.33333333,0.0,30.36,0.0,0,0,0,0,-7,0,0,0,0,0,0,1,0,1,0,0,1189,1.662656837E9
1,32,93.75,0.0,74.45,0.009943182,0,0,0,704,-2,0,1,0,0,0,0,0,0,0,1,0,1190,1.662656837E9
1,60,30.0,8.333333333,147.77,0.122669284,0,0,1,1019,-31,1,0,0,0,0,0,0,0,1,0,0,1191,1.662656837E9
0,0,0.0,0.0,16.09,0.034632035,0,0,0,231,-29,0,0,0,0,0,1,0,0,0,1,0,1192,1.662656837E9
0,13,100.0,46.15384615,74.59,0.039864292,1,1,0,1179,-332,1,0,0,0,0,0,0,0,0,1,0,1193,1.662656837E9
1,47,4.255319149,4.255319149,48.01,0.006796117,0,0,0,1030,0,0,1,0,0,0,0,0,0,0,1,0,1194,1.662656837E9
1,48,2.083333333,0.0,228.24,0.075835476,0,0,0,778,-242,0,1,0,0,0,0,0,0,0,1,0,1195,1.662656837E9
1,48,16.66666667,10.41666667,49.81,0.010861133,0,0,0,1289,-35,1,0,0,0,0,0,0,0,0,1,0,1196,1.662656837E9
1,16,0.0,0.0,79.25,0.333333333,0,0,0,6,-59,0,1,0,0,0,0,0,0,0,1,0,1197,1.662656837E9
1,45,8.888888889,2.222222222,50.49,0.074747475,0,0,0,495,-68,1,0,0,0,0,0,0,0,0,1,0,1198,1.662656837E9
1,16,0.0,0.0,51.31,0.01980198,0,0,0,101,-7,0,0,0,0,0,0,1,0,1,0,0,1199,1.662656837E9
1,45,0.0,0.0,41.81,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1200,1.662656837E9
1,47,31.91489362,4.255319149,34.51,0.008635579,0,0,0,1158,-19,0,0,0,0,0,0,1,0,1,0,0,1201,1.662656837E9
1,46,13.04347826,0.0,48.65,0.022058824,0,0,0,952,-190,1,0,0,0,0,0,0,0,0,1,0,1202,1.662656837E9
0,0,0.0,0.0,59.7,0.108433735,1,0,0,498,-54,0,1,0,0,0,0,0,0,1,0,0,1203,1.662656837E9
1,44,45.45454545,11.36363636,54.35,0.051671733,0,0,0,987,-657,0,0,0,0,0,1,0,0,0,1,0,1204,1.662656837E9
